subject_id,n_trials,error_rate,te1_rate,te2_rate,te3_rate
02333qfj,51,0.19607843137254902,0.13725490196078433,0.0196078431372549,0.0392156862745098
03ljcqhc,26,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.0
08vqizpx,16,0.0625,0.0625,0.0,0.0
095bdwyc,14,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.07142857142857142
0hrc9vve,13,0.3076923076923077,0.07692307692307693,0.0,0.23076923076923078
0ra11hiv,35,0.2,0.08571428571428572,0.11428571428571428,0.0
0wk7vjg8,28,0.17857142857142858,0.14285714285714285,0.0,0.03571428571428571
0yfthc4y,51,0.23529411764705882,0.13725490196078433,0.0392156862745098,0.058823529411764705
154uk6vm,28,0.35714285714285715,0.17857142857142858,0.10714285714285714,0.07142857142857142
189iqcds,61,0.04918032786885246,0.01639344262295082,0.03278688524590164,0.0
1qt2f29y,46,0.30434782608695654,0.1956521739130435,0.06521739130434782,0.043478260869565216
1r6yodve,38,0.10526315789473684,0.07894736842105263,0.02631578947368421,0.0
23iyreiv,30,0.2,0.16666666666666666,0.0,0.03333333333333333
27d8totr,69,0.028985507246376812,0.028985507246376812,0.0,0.0
2anyuqd8,40,0.1,0.1,0.0,0.0
2d8q4qkc,58,0.017241379310344827,0.017241379310344827,0.0,0.0
2j8p9vyz,66,0.13636363636363635,0.06060606060606061,0.030303030303030304,0.045454545454545456
2ke9hbes,15,0.13333333333333333,0.13333333333333333,0.0,0.0
2tkm21z6,65,0.18461538461538463,0.12307692307692308,0.015384615384615385,0.046153846153846156
2w766g1z,60,0.21666666666666667,0.15,0.05,0.016666666666666666
318gokyy,19,0.3684210526315789,0.2631578947368421,0.05263157894736842,0.05263157894736842
3cc6zm51,59,0.15254237288135594,0.1016949152542373,0.05084745762711865,0.0
3d2as981,41,0.1951219512195122,0.14634146341463414,0.024390243902439025,0.024390243902439025
3irnkhq8,58,0.20689655172413793,0.13793103448275862,0.034482758620689655,0.034482758620689655
41kp06jx,59,0.2033898305084746,0.0847457627118644,0.05084745762711865,0.06779661016949153
44o5xnxe,69,0.043478260869565216,0.014492753623188406,0.0,0.028985507246376812
4j6cy1mk,64,0.21875,0.171875,0.046875,0.0
4kl3i3tv,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
4s3cm7d8,48,0.2916666666666667,0.14583333333333334,0.10416666666666667,0.041666666666666664
4s9g1cze,58,0.1724137931034483,0.10344827586206896,0.05172413793103448,0.017241379310344827
4stfwpke,25,0.12,0.08,0.04,0.0
4wx63ymf,67,0.08955223880597014,0.08955223880597014,0.0,0.0
50nsp39w,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0
5hz183aa,10,0.6,0.3,0.1,0.2
5nrjvc7q,59,0.2711864406779661,0.1694915254237288,0.05084745762711865,0.05084745762711865
5pds9j1d,27,0.0,0.0,0.0,0.0
5vv1rrzw,19,0.05263157894736842,0.05263157894736842,0.0,0.0
61zahdh9,61,0.14754098360655737,0.08196721311475409,0.06557377049180328,0.0
648anokh,69,0.11594202898550725,0.057971014492753624,0.057971014492753624,0.0
6e5gb0yb,67,0.05970149253731343,0.04477611940298507,0.014925373134328358,0.0
6eyovdd2,57,0.17543859649122806,0.10526315789473684,0.07017543859649122,0.0
6p8vl3lk,8,0.5,0.25,0.125,0.125
72p6pxny,58,0.20689655172413793,0.10344827586206896,0.10344827586206896,0.0
74l1qvc1,25,0.28,0.12,0.08,0.08
7agy8y3l,51,0.11764705882352941,0.058823529411764705,0.0392156862745098,0.0196078431372549
7nszfy43,16,0.3125,0.1875,0.0625,0.0625
7o2tmcr2,5,0.6,0.6,0.0,0.0
89u58v07,56,0.14285714285714285,0.08928571428571429,0.03571428571428571,0.017857142857142856
8aknstxj,51,0.13725490196078433,0.0784313725490196,0.058823529411764705,0.0
8bgj1tsd,42,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.0
8d21w3yr,46,0.1956521739130435,0.08695652173913043,0.043478260869565216,0.06521739130434782
8jwr3j6t,62,0.20967741935483872,0.0967741935483871,0.06451612903225806,0.04838709677419355
8oohxrrz,65,0.16923076923076924,0.12307692307692308,0.03076923076923077,0.015384615384615385
8psac9uo,64,0.140625,0.078125,0.015625,0.046875
8y2nd2sh,70,0.11428571428571428,0.07142857142857142,0.04285714285714286,0.0
8yhijukj,48,0.20833333333333334,0.10416666666666667,0.041666666666666664,0.0625
904h81sn,73,0.0547945205479452,0.0273972602739726,0.0,0.0273972602739726
91fk0af9,26,0.11538461538461539,0.11538461538461539,0.0,0.0
9evwb372,62,0.14516129032258066,0.0967741935483871,0.03225806451612903,0.016129032258064516
9ohxtpht,65,0.09230769230769231,0.07692307692307693,0.0,0.015384615384615385
9pjr0waw,33,0.12121212121212122,0.06060606060606061,0.06060606060606061,0.0
9wkeb5tu,19,0.15789473684210525,0.0,0.05263157894736842,0.10526315789473684
a0w1xgxf,38,0.23684210526315788,0.10526315789473684,0.02631578947368421,0.10526315789473684
a589fsqz,62,0.03225806451612903,0.03225806451612903,0.0,0.0
