task_id,n_subjects,n_edits_mean,n_reset_mean,n_showex_mean,n_hideex_mean,used_copy_mean,mean_rt_ms_mean,total_time_ms_mean,color_run_mean_mean,color_run_max_mean,spatial_run_mean_mean,adjacency_rate_mean,mean_step_mean,within_obj_rate_mean,unique_colors_mean,row_major_corr_mean,col_major_corr_mean,best_scan_corr_mean,extension_rate_mean,new_seed_rate_mean,stamp_burst_rate_mean,stamp_burst_cells_mean,same_color_component_count_mean,same_color_component_mean_mean,same_color_component_max_mean,scan_row_major_rate,scan_col_major_rate,first_action_copy_rate,first_action_reset_rate,first_action_showex_rate
00d62c1b,189,37.10582010582011,1.0158730158730158,1.380952380952381,1.380952380952381,0.9365079365079365,600.5152860892264,23489.352227501502,29.252975030168013,33.41798941798942,3.8946629703181395,0.7521526575276269,1.895639675347286,0.7476808908906658,1.2804232804232805,0.08769789572853612,0.5825189062470354,0.574124088871735,0.7339067473342452,0.2660932526657547,0.6767914080015343,24.978835978835978,8.592592592592593,4.106661464701492,15.296296296296296,0.2698412698412698,0.7195767195767195,0.0,0.9947089947089947,0.0
00dbd492,197,105.14213197969544,1.0456852791878173,3.1116751269035534,3.1065989847715736,0.934010152284264,442.1984076228901,56572.457527934566,29.932239087759392,53.83248730964467,16.22339751873353,0.9194297746171036,1.3361558842414,0.9176134949082349,3.253807106598985,-0.305223627594751,0.023963871588585907,-0.2006265708589645,0.928429566463976,0.07157043353602395,0.8637098966692832,90.65482233502539,5.020304568527918,20.266668758483476,47.56345177664975,0.7157360406091371,0.28426395939086296,0.0,0.9898477157360406,0.0
0a2355a6,187,107.59893048128342,1.1122994652406417,5.219251336898396,5.219251336898396,0.9411764705882353,634.3203885934092,87071.23380214215,20.07986652123173,32.588235294117645,10.733562220939792,0.8867317588708614,1.3676481125987685,0.8820783016505244,4.304812834224599,0.05071833797286351,-0.19753973018970575,-0.17784339149267347,0.9117232032352485,0.08827679676475159,0.8046281564772358,88.3475935828877,5.705882352941177,17.91502896242201,27.422459893048128,0.18181818181818182,0.8128342245989305,0.0,0.9946524064171123,0.0
0a938d79,198,86.56565656565657,1.1616161616161615,2.2323232323232323,2.2323232323232323,0.9343434343434344,704.6230381079835,57379.1184595882,11.764355703147269,21.46969696969697,8.30616800657356,0.8601660302455989,1.6966397977624024,0.8495715433421288,2.707070707070707,0.6934161304495781,0.1047280027424025,0.6855708562957717,0.8578668294457882,0.14213317055421165,0.8543045971117409,75.96969696969697,7.94949494949495,9.723281530513212,15.954545454545455,0.9191919191919192,0.06565656565656566,0.0,0.9949494949494949,0.0
0b17323b,191,3.5916230366492146,1.0261780104712042,1.324607329842932,1.324607329842932,0.9424083769633508,3408.862428580001,7001.855089020262,2.6231239092495633,2.884816753926702,1.1457055597107952,0.07122056034778146,2.834601382290487,0.03043107060541214,1.2303664921465969,0.14243449103141098,0.15016450217756616,0.1447039668103611,0.02082329406074975,0.9791767059392502,0.021833803593889825,0.5497382198952879,3.0,1.0618866299494574,1.256544502617801,0.2094240837696335,0.015706806282722512,0.0,0.9947643979057592,0.0
0ca9ddb6,197,15.639593908629442,1.0558375634517767,3.512690355329949,3.512690355329949,0.9441624365482234,1178.6956062896477,29114.381218268296,5.150252968600551,7.451776649746193,1.3905062982535468,0.2589472305058754,2.232093640251964,0.23156337920415637,2.6395939086294415,0.4761094632878514,0.26863678806717933,0.5833097959890646,0.10294869711936018,0.8970513028806397,0.11015547013534041,1.8426395939086295,12.345177664974619,1.2764476816640344,2.9289340101522843,0.6852791878172588,0.3096446700507614,0.0,0.9898477157360406,0.005076142131979695
0d3d703e,197,10.071065989847716,1.0456852791878173,3.6395939086294415,3.6395939086294415,0.48223350253807107,1077.156169588797,19143.038624368874,3.0787955699123213,3.3401015228426396,3.225972927241963,0.7555845503556134,1.229896789905378,0.7395947471139849,3.1421319796954315,0.24166870384901037,0.33527073858133416,0.2564398893251195,0.6692179588757343,0.33078204112426585,0.7969061505150715,7.9543147208121825,3.1776649746192893,3.064861816130852,3.2233502538071064,0.9644670050761421,0.030456852791878174,0.0,0.9949238578680203,0.0
0d87d2a6,184,230.04891304347825,1.184782608695652,2.907608695652174,2.907608695652174,0.9402173913043478,467.70717667751705,125667.62108695135,101.5998478403906,161.10326086956522,10.905545153925996,0.8694715170487946,1.5565324740820288,0.8656845198710752,1.8369565217391304,0.21266203587152954,0.116084524233778,0.32687211077962386,0.9182121349849549,0.08178786501504506,0.8259710933396908,200.07065217391303,3.385869565217391,87.77676192978441,162.30978260869566,0.47282608695652173,0.5054347826086957,0.0,0.9891304347826086,0.0
0e671a1a,198,47.27272727272727,1.4242424242424243,3.8181818181818183,3.8181818181818183,0.9393939393939394,809.4881948141982,56771.39169192982,24.991735987324226,33.53030303030303,10.900706944520397,0.8821168455962861,1.4046691395419988,0.8694767843578898,1.7828282828282829,0.09131406838011795,0.058446623493470885,0.09266443208609398,0.8648497235774196,0.13515027642258023,0.7431502964083252,36.45959595959596,2.611111111111111,17.757217538796485,27.646464646464647,0.4696969696969697,0.5151515151515151,0.0,0.98989898989899,0.005050505050505051
12eac192,161,28.26086956521739,1.329192546583851,3.919254658385093,3.919254658385093,0.9440993788819876,1338.6329075076972,87003.51239131129,20.31694271911663,23.726708074534162,2.2818611590705835,0.5368330396667538,1.849918916796535,0.5225172848249069,1.4472049689440993,0.2875514874380906,0.21880263944786651,0.40907853616059164,0.517917778247006,0.48208222175299403,0.3297949459860921,10.22360248447205,9.335403726708075,2.3167292347089665,6.093167701863354,0.5403726708074534,0.4161490683229814,0.0,1.0,0.0
1a07d186,188,29.904255319148938,1.101063829787234,1.8351063829787233,1.8351063829787233,0.925531914893617,2023.9818358758855,58629.787441480104,4.500572320184336,12.25531914893617,1.5014034617107304,0.18814403038703453,7.188967516561196,0.1684630963580802,3.882978723404255,0.296417515524203,0.15567061164744653,0.3250190513250391,0.1720442311090089,0.8279557688909912,0.13230805692878073,8.351063829787234,17.96276595744681,1.6388602931106198,4.4787234042553195,0.7021276595744681,0.28191489361702127,0.0,0.9946808510638298,0.0
1b60fb0c,192,21.604166666666668,1.2239583333333333,2.1770833333333335,2.1770833333333335,0.9583333333333334,3360.000159765801,83762.12596875265,8.389855063004735,12.802083333333334,3.671535878762441,0.7422853697900539,1.3900963875992336,0.6845508954144313,1.7760416666666667,-0.10370913138496751,0.0767938078229965,-0.03203313131965929,0.8330200795115218,0.16697992048847818,0.277614399344235,6.671875,2.4114583333333335,7.601909722222222,11.505208333333334,0.4895833333333333,0.4947916666666667,0.0,0.9947916666666666,0.0
1bfc4729,184,63.20108695652174,1.0271739130434783,2.385869565217391,2.385869565217391,0.8858695652173914,521.1645822267044,32816.971527191505,20.877652691511386,29.418478260869566,8.335762544414239,0.8638924572745267,1.6025214269738686,0.8567228025642794,2.347826086956522,0.15967735221719354,0.49772702724567003,0.5055676930304437,0.9069468551720306,0.09305314482796936,0.8124940498368945,52.255434782608695,2.6684782608695654,22.64844056909274,27.29891304347826,0.059782608695652176,0.9293478260869565,0.0,1.0,0.0
