subject_id,size,color_homogeneity,is_connected,bbox_area,fill_ratio,nn_chain_rate,success_iou_best,n_cells,n_chunks_total
02333qfj,6.545556631402785,0.9596868131868131,0.6294993894993896,23.45158427896889,0.6710541965172148,0.8253584155081838,0.17713080521614952,6.382361049207203,6.446153846153846
03ljcqhc,5.499391427008209,0.978406362545018,0.6915588784533421,17.419386747911833,0.7401652073566687,0.8610697599432616,0.16710981258696783,5.3477927445488005,7.176470588235294
08vqizpx,6.037184981684982,0.944949531949532,0.48388156288156287,26.654989621489623,0.606831039716512,0.7293508080701138,0.14442644713176572,6.012160561660562,10.04
095bdwyc,5.515740740740741,0.9482014704406304,0.48972663139329803,26.83699294532628,0.632022684420793,0.8527458570409084,0.16210915429754977,5.3351851851851855,6.111111111111111
0fy66fv2,4.3040079365079364,0.9448159271284272,0.31976190476190475,31.85834325396825,0.45493306757004104,0.43048088334315276,0.0850538830107936,4.169156746031746,5.825
0hrc9vve,8.966036268695843,0.9903846153846154,0.5109068458137608,40.197266585364986,0.6090927347586749,0.7769864640369574,0.13448002910058834,8.631710178119752,6.980769230769231
0ra11hiv,5.031335621089126,0.9743859881614982,0.5808105656108765,15.75370961176229,0.6603797012185255,0.7965551093949478,0.1809078804846158,4.913762822299792,11.326530612244898
0wk7vjg8,4.588169216030819,0.9800179211469534,0.7069990305682293,13.05356577461156,0.7571884990622093,0.8966040609484939,0.13248634380644392,4.508587507416852,8.451612903225806
0yfthc4y,5.484669754045875,0.959118425769571,0.6160699924034772,14.857198423449649,0.6972617165799718,0.8011759455874126,0.17353985093352786,5.182226326391539,10.788732394366198
154uk6vm,7.776229725787997,0.9801174529640917,0.6659175984833879,20.225218628228497,0.7074156091234901,0.8099190181460296,0.1459796805945766,7.337086097642959,7.375
189iqcds,5.776341378182597,0.9565150290885586,0.651980715760396,16.01577843673581,0.6907268173061745,0.8221108310531305,0.17215820025452105,5.600296419200786,7.367647058823529
1qt2f29y,5.885187617539609,0.9276999652427734,0.5866571883370446,18.88220313712011,0.6721891673045644,0.7881941596391178,0.15516313559044498,5.712690546313398,9.41095890410959
1r6yodve,5.497625220713024,0.906586644394114,0.5600125083661439,17.92448080833222,0.6593505392045264,0.7305094433471255,0.15051689540653812,5.457945218277267,12.220588235294118
1xogp17t,13.29023569023569,1.0,0.33375420875420875,49.40176767676768,0.4746187600512095,0.8475206496599292,0.0978102632190558,12.403872053872055,2.9166666666666665
