task_id,strategy,distance
00d62c1b,random_k3,3.3367342531013424
00d62c1b,color_first,3.775745163197499
00d62c1b,nn_color_first,3.775745163197499
00d62c1b,object_first,2.379620726513297
00d62c1b,row_first,2.4056325960808778
00d62c1b,col_first,3.0301394107061776
00dbd492,random_k3,3.662279766177334
00dbd492,color_first,1.7661113196985627
00dbd492,nn_color_first,1.7661113196985627
00dbd492,object_first,2.3504196292976816
00dbd492,row_first,2.735185619069139
00dbd492,col_first,3.0981665329778743
0a2355a6,random_k3,3.2375187943881567
0a2355a6,color_first,3.5746763667270387
0a2355a6,nn_color_first,3.5746763667270387
0a2355a6,object_first,3.6048042865861714
0a2355a6,row_first,2.025811189409269
0a2355a6,col_first,3.042794693130846
0a938d79,random_k3,3.1133446479907825
0a938d79,color_first,4.021912711080087
0a938d79,nn_color_first,4.021912711080087
0a938d79,object_first,4.665614507328409
0a938d79,row_first,3.9150093747078842
0a938d79,col_first,6.009933759201941
0b17323b,random_k3,3.8423594344067604
0b17323b,color_first,6.778666639350471
0b17323b,nn_color_first,6.778666639350471
0b17323b,object_first,8.06057137917844
0b17323b,row_first,10.281017620886193
0b17323b,col_first,9.52976856570546
0ca9ddb6,random_k3,3.0459974003598185
0ca9ddb6,color_first,5.097171423114938
0ca9ddb6,nn_color_first,5.097171423114938
0ca9ddb6,object_first,3.896880632922947
0ca9ddb6,row_first,2.9905122837406997
0ca9ddb6,col_first,2.303495603198165
0d3d703e,random_k3,7.0815102960787275
0d3d703e,color_first,10.58613426179133
0d3d703e,nn_color_first,10.58613426179133
0d3d703e,object_first,7.477287238057661
0d3d703e,row_first,5.871680486544814
0d3d703e,col_first,9.155017821484247
0d87d2a6,random_k3,2.6986849330758163
0d87d2a6,color_first,3.5366684402901565
0d87d2a6,nn_color_first,3.5366684402901565
0d87d2a6,object_first,5.10466460482319
0d87d2a6,row_first,1.66395024204085
0d87d2a6,col_first,2.665830843300904
0e671a1a,random_k3,3.2096055130736585
0e671a1a,color_first,5.072664063504495
0e671a1a,nn_color_first,5.072664063504495
0e671a1a,object_first,3.5259752974826863
0e671a1a,row_first,2.6137464051188704
0e671a1a,col_first,2.278125943445155
12eac192,random_k3,2.0329591626816987
12eac192,color_first,2.564142105489215
12eac192,nn_color_first,2.564142105489215
12eac192,object_first,2.1098115339836716
12eac192,row_first,1.8835099846878869
12eac192,col_first,2.6038340262009974
1a07d186,random_k3,2.0854032595927676
1a07d186,color_first,5.035817132785666
1a07d186,nn_color_first,5.035817132785666
1a07d186,object_first,4.992138188494577
1a07d186,row_first,2.4076402159216066
1a07d186,col_first,5.054717987715335
1b60fb0c,random_k3,2.1846289047959964
1b60fb0c,color_first,3.5489140904316847
1b60fb0c,nn_color_first,3.5489140904316847
1b60fb0c,object_first,5.931627159669566
1b60fb0c,row_first,2.860012313219521
1b60fb0c,col_first,2.6374324019116155
1bfc4729,random_k3,3.1712827140617956
1bfc4729,color_first,3.9184507884141477
1bfc4729,nn_color_first,3.9184507884141477
1bfc4729,object_first,4.627058018417087
1bfc4729,row_first,3.2191114872774276
1bfc4729,col_first,4.391793306282827
1c02dbbe,random_k3,3.4382484455125892
1c02dbbe,color_first,4.9575319657268775
1c02dbbe,nn_color_first,4.9575319657268775
1c02dbbe,object_first,4.518287171733828
1c02dbbe,row_first,3.104777049892675
1c02dbbe,col_first,3.3871119079782175
1c0d0a4b,random_k3,2.8878710711874946
1c0d0a4b,color_first,2.3540784929168592
1c0d0a4b,nn_color_first,2.3540784929168592
1c0d0a4b,object_first,3.1247320944298047
1c0d0a4b,row_first,3.4504233694085817
1c0d0a4b,col_first,3.6094634212933676
1caeab9d,random_k3,3.664213265522182
1caeab9d,color_first,3.399231353162673
1caeab9d,nn_color_first,3.399231353162673
1caeab9d,object_first,1.913941493042194
1caeab9d,row_first,3.2446182591315273
1caeab9d,col_first,3.6454284890218007
1e0a9b12,random_k3,5.341764052391086
1e0a9b12,color_first,9.01500107903679
1e0a9b12,nn_color_first,9.01500107903679
1e0a9b12,object_first,6.167303570920941
1e0a9b12,row_first,5.668303484446509
1e0a9b12,col_first,9.425821093093221
1e32b0e9,random_k3,3.435226317807043
1e32b0e9,color_first,4.308021353588543
1e32b0e9,nn_color_first,4.308021353588543
1e32b0e9,object_first,2.551638836415425
