pool_range,n,acc_weighted_color,majority_baseline,above_baseline_pp
"[0,5)",322,0.10248447204968944,0.6242236024844721,-52.17391304347826
"[5,15)",500,0.208,0.564,-35.6
"[15,40)",474,0.25949367088607594,0.6561181434599156,-39.66244725738397
"[40,500)",368,0.375,0.6358695652173914,-26.086956521739136
