final_submission_label,Success,Top Error 1,Top Error 2,Top Error 3,none
Top Error 1,0.341,0.303,0.058,0.062,0.235
Top Error 2,0.188,0.15,0.135,0.108,0.419
Top Error 3,0.211,0.117,0.094,0.234,0.344
