min_score_K,n_kept,coverage_of_errors,accuracy_on_kept,majority_baseline_on_kept,above_baseline_pp
1,1053,0.63016157989228,0.3779677113010446,0.6609686609686609,-28.30009496676163
2,840,0.5026929982046678,0.40714285714285714,0.6785714285714286,-27.142857142857146
3,577,0.3453022142429683,0.44020797227036396,0.6776429809358753,-23.74350086655113
5,379,0.22681029323758228,0.45646437994722955,0.7203166226912929,-26.385224274406337
8,244,0.14602034709754638,0.5081967213114754,0.7704918032786885,-26.22950819672131
12,142,0.08497905445840814,0.4507042253521127,0.7253521126760564,-27.464788732394368
