condition,n_chunks,color_homogeneity_mean,frac_connected,success_iou_mean,size_mean,n_cells_mean
null_cut,130015,0.9347634308700762,0.5957158789370457,0.1302289552746919,5.402568934353728,5.166019305464754
null_rt,139654,0.9392253864068073,0.6109313016454953,0.130488707208943,5.029680496083177,4.82337777650479
real,130015,0.9886472850591482,0.7735030573395377,0.14910814852607243,5.402568934353728,5.1324231819405455
